Title,Year,Source title,Country,Faculty Area,Analyzed Process,Collected Data,Type of Data Used,Statistical Method
Gender differences and cooperation in medical authorships - an analysis of the recent ten years in five key medical disciplines,2023,BMC Medical Education,"US, UK, Canada, France, Germany, Japan",Medicine,Promotions,Public,Bibliometric data,Descriptive
"Pathways to Engineering Graduate Studies for Women: Challenges and Opportunities Revealed through Mining Students' Application, Admission, and Enrollment Data",2023,"ASEE Annual Conference and Exposition, Conference Proceedings",Canada,Engineering,Recruitment,Private,Admission letters,Both
Where are the women deans? The importance of gender bias and self-selection processes for the deanship ambition of female and male professors,2022,Journal of Applied Social Psychology,"Germany, Austria, Switzerland",Multi-area,Promotions,Private,Survey,Descriptive
Women Physicians in Transition Learning to Navigate the Pipeline from Early to Mid-Career: Protocol for a Qualitative Study,2022,JMIR Research Protocols,US,Physics,Promotions,Private,Survey,Descriptive
Unequal opportunities in Italian cardiovascular research: focus on gender,2022,Panminerva Medica,Italy,Medicine,Promotions,Public,Bibliometric data,Inferential
Gender Disparity in Access to Academia in Italy. Are there barriers to women’s early career stages?,2022,Polis (Italy),Italy,Multi-area,Recruitment,Public,Public data,Descriptive
Longitudinal Career Survey of Entomology Doctoral Graduates Suggests That Females Are Disadvantaged in Entomology Job Market,2022,Annals of the Entomological Society of America,US,Medicine,Both,Private,Survey,Descriptive
"Women in Academia: Representation, Tenure, and Publication Patterns in the STEM and Social Sciences Fields",2022,Journal of International Women's Studies,US,Multi-area,Promotions,Both,Survey,Descriptive
Endowed Chairs and Professorships: A New Frontier in Gender Equity,2022,Academic Medicine,US,Medicine,Promotions,Both,Survey and Public data,Descriptive
Perceptual Facilitators for and Barriers to Career Progression: A Qualitative Study with Female Early Stage Investigators in Health Sciences,2021,Academic Medicine,US,Medicine,Promotions,Private,Survey,Descriptive
Women in Academic Pathology: Pathways to Department Chair,2021,Academic Pathology,"US, Canada",Medicine,Promotions,Private,Survey,Descriptive
Equity and Game-Theory Strategies to Promote Gender Diversity and Inclusion in an Academic Health Science Centre,2021,CJC Open,Canada,Medicine,Promotions,Private,Survey and bibliometric data,Descriptive
Women in Leadership and Their Influence on the Gender Diversity of Academic Plastic Surgery Programs,2021,Plastic and Reconstructive Surgery,US,Medicine,Both,Both,Public data,Descriptive
‘Being good isn’t good enough’: gender discrimination in Italian academia,2021,Studies in Higher Education,Italy,Multi-area,Promotions,Public,Public data,Both
"Not Just Surviving, But Thriving: Overcoming Barriers to Career Advancement for Women Junior Faculty Clinician-Researchers",2021,Academic Psychiatry,US,Medicine,Promotions,Private,Survey,Inferential
