,ID_x,Sex_x,ID_y,Sex_y
2120,1,male,2120,female
3174,3,male,3174,male
2641,5,female,2641,female
3024,6,male,3024,female
284,8,male,284,male
781,8,male,781,female
2670,8,male,2670,male
3147,8,male,3147,male
142,9,male,142,male
169,9,male,169,male
398,9,male,398,male
438,9,male,438,female
791,9,male,791,male
2104,9,male,2104,male
2461,9,male,2461,male
2917,9,male,2917,male
2970,9,male,2970,male
3476,9,male,3476,male
3539,9,male,3539,female
3204,17,male,3204,male
1660,18,female,1660,male
1919,18,female,1919,male
358,19,male,358,male
3212,19,male,3212,male
2996,20,male,2996,male
137,24,male,137,male
2887,24,male,2887,male
2160,25,male,2160,male
2908,25,male,2908,male
2910,25,male,2910,female
2893,26,male,2893,male
2931,26,male,2931,male
3066,27,male,3066,male
388,29,male,388,male
2908,29,male,2908,male
1823,34,male,1823,male
3402,34,male,3402,male
137,35,male,137,male
590,36,male,590,male
3116,36,male,3116,male
3212,36,male,3212,male
2913,37,male,2913,male
1660,40,male,1660,male
1774,40,male,1774,male
1967,46,male,1967,male
1971,46,male,1971,male
546,47,female,546,female
548,47,female,548,male
581,47,female,581,female
859,47,female,859,male
2497,47,female,2497,female
3236,47,female,3236,female
2281,48,male,2281,male
2988,53,male,2988,male
3239,54,male,3239,female
1364,58,male,1364,female
1701,58,male,1701,female
1706,58,male,1706,male
85,59,male,85,male
128,59,male,128,male
483,59,male,483,female
1992,59,male,1992,male
2031,59,male,2031,male
2429,59,male,2429,male
3639,59,male,3639,female
61,60,male,61,male
102,60,male,102,male
213,60,male,213,male
302,60,male,302,male
332,60,male,332,male
521,60,male,521,male
536,60,male,536,male
546,60,male,546,female
550,60,male,550,male
568,60,male,568,male
581,60,male,581,female
876,60,male,876,male
1701,60,male,1701,female
1933,60,male,1933,male
2893,60,male,2893,male
2898,60,male,2898,male
2917,60,male,2917,male
2930,60,male,2930,male
2961,60,male,2961,male
3012,60,male,3012,female
3117,60,male,3117,male
60,61,male,60,male
85,61,male,85,male
142,61,male,142,male
155,61,male,155,female
454,61,male,454,male
545,61,male,545,male
1933,61,male,1933,male
2083,61,male,2083,male
2578,61,male,2578,male
2620,61,male,2620,male
132,62,male,132,male
153,62,male,153,male
170,62,male,170,male
319,62,male,319,female
507,62,male,507,male
602,62,male,602,male
704,62,male,704,male
1087,62,male,1087,female
1278,62,male,1278,male
1549,62,male,1549,male
1553,62,male,1553,male
1556,62,male,1556,male
1731,62,male,1731,female
2378,62,male,2378,female
2641,62,male,2641,female
3536,62,male,3536,male
3546,62,male,3546,male
3614,62,male,3614,female
103,63,male,103,male
155,63,male,155,female
334,63,male,334,male
688,63,male,688,male
696,63,male,696,male
701,63,male,701,male
702,63,male,702,male
706,63,male,706,male
1028,63,male,1028,male
1469,63,male,1469,male
1525,63,male,1525,male
1542,63,male,1542,male
1560,63,male,1560,male
2552,63,male,2552,male
2641,63,male,2641,female
2650,63,male,2650,male
2725,63,male,2725,male
2829,63,male,2829,male
132,64,male,132,male
1008,64,male,1008,male
1625,64,male,1625,male
2854,64,male,2854,male
2956,64,male,2956,male
2991,64,male,2991,male
288,65,male,288,male
120,66,male,120,female
215,66,male,215,male
284,66,male,284,male
290,66,male,290,male
577,66,male,577,male
1066,66,male,1066,male
1239,66,male,1239,male
1273,66,male,1273,female
2403,66,male,2403,male
2456,66,male,2456,male
2582,66,male,2582,male
2935,66,male,2935,male
2956,66,male,2956,male
3105,66,male,3105,male
3525,66,male,3525,male
3601,66,male,3601,female
115,67,male,115,male
117,67,male,117,male
154,67,male,154,male
318,67,male,318,male
327,67,male,327,male
536,67,male,536,male
546,67,male,546,female
568,67,male,568,male
581,67,male,581,female
696,67,male,696,male
1701,67,male,1701,female
1835,67,male,1835,male
1844,67,male,1844,male
2811,67,male,2811,male
2889,67,male,2889,male
2898,67,male,2898,male
3095,67,male,3095,male
73,68,male,73,female
99,68,male,99,male
114,68,male,114,male
117,68,male,117,male
121,68,male,121,male
169,68,male,169,male
172,68,male,172,male
318,68,male,318,male
339,68,male,339,male
387,68,male,387,male
542,68,male,542,male
917,68,male,917,male
1286,68,male,1286,male
1522,68,male,1522,male
2032,68,male,2032,female
2122,68,male,2122,male
2380,68,male,2380,male
2887,68,male,2887,male
2914,68,male,2914,male
2916,68,male,2916,male
2922,68,male,2922,male
98,69,female,98,male
139,69,female,139,female
153,69,female,153,male
210,69,female,210,female
450,69,female,450,male
528,69,female,528,male
545,69,female,545,male
994,69,female,994,male
1087,69,female,1087,female
1202,69,female,1202,male
1207,69,female,1207,male
1388,69,female,1388,male
1519,69,female,1519,male
1535,69,female,1535,male
1539,69,female,1539,female
1541,69,female,1541,male
1544,69,female,1544,female
1560,69,female,1560,male
1606,69,female,1606,male
1731,69,female,1731,female
1783,69,female,1783,male
1897,69,female,1897,male
1955,69,female,1955,female
3488,69,female,3488,male
3537,69,female,3537,male
3575,69,female,3575,male
3614,69,female,3614,female
3635,69,female,3635,female
3658,69,female,3658,female
209,70,male,209,male
2942,70,male,2942,male
3246,70,male,3246,male
114,73,female,114,male
134,73,female,134,male
172,73,female,172,male
177,73,female,177,male
198,73,female,198,male
274,73,female,274,male
299,73,female,299,male
470,73,female,470,male
533,73,female,533,male
543,73,female,543,male
946,73,female,946,female
1700,73,female,1700,male
1747,73,female,1747,male
2122,73,female,2122,male
2580,73,female,2580,female
2889,73,female,2889,male
2922,73,female,2922,male
3075,73,female,3075,male
651,75,male,651,male
280,77,male,280,male
554,77,male,554,female
1013,77,male,1013,male
1232,77,male,1232,male
1278,77,male,1278,male
1587,77,male,1587,male
1676,77,male,1676,male
1715,77,male,1715,male
1978,77,male,1978,male
2842,77,male,2842,male
2912,77,male,2912,male
521,79,male,521,male
568,79,male,568,male
1032,79,male,1032,male
2292,79,male,2292,male
197,80,male,197,male
567,80,male,567,male
602,80,male,602,male
735,80,male,735,male
1222,80,male,1222,male
2893,80,male,2893,male
2895,80,male,2895,male
3189,80,male,3189,male
3257,80,male,3257,male
66,81,male,66,male
124,81,male,124,male
148,81,male,148,male
152,81,male,152,male
194,81,male,194,male
284,81,male,284,male
324,81,male,324,male
1010,81,male,1010,male
1018,81,male,1018,male
1245,81,male,1245,male
1313,81,male,1313,male
1314,81,male,1314,male
1345,81,male,1345,male
1373,81,male,1373,female
1744,81,male,1744,female
1947,81,male,1947,male
2125,81,male,2125,male
2430,81,male,2430,male
2603,81,male,2603,male
2616,81,male,2616,male
2629,81,male,2629,male
2935,81,male,2935,male
2978,81,male,2978,male
3066,81,male,3066,male
3414,81,male,3414,male
3536,81,male,3536,male
3601,81,male,3601,female
155,82,male,155,female
487,82,male,487,male
698,82,male,698,male
1536,82,male,1536,female
1714,82,male,1714,male
2177,82,male,2177,male
2178,82,male,2178,male
2179,82,male,2179,male
2593,82,male,2593,male
2712,82,male,2712,female
3617,82,male,3617,male
2602,83,female,2602,male
61,85,male,61,male
124,85,male,124,male
548,85,male,548,male
1080,85,male,1080,female
1134,85,male,1134,male
1259,85,male,1259,male
2083,85,male,2083,male
2578,85,male,2578,male
2897,85,male,2897,female
3236,85,male,3236,female
155,86,male,155,female
1747,86,male,1747,male
3544,86,male,3544,male
3612,86,male,3612,male
96,87,male,96,male
98,87,male,98,male
126,87,male,126,female
170,87,male,170,male
313,87,male,313,male
506,87,male,506,male
1236,87,male,1236,male
1535,87,male,1535,male
1552,87,male,1552,male
1556,87,male,1556,male
1621,87,male,1621,female
1638,87,male,1638,male
1655,87,male,1655,male
2578,87,male,2578,male
2612,87,male,2612,male
2629,87,male,2629,male
2677,87,male,2677,male
2862,87,male,2862,female
2868,87,male,2868,male
2890,87,male,2890,male
2936,87,male,2936,male
2967,87,male,2967,female
3077,87,male,3077,male
3209,87,male,3209,male
3543,87,male,3543,male
3635,87,male,3635,female
3642,87,male,3642,male
175,88,male,175,male
85,89,male,85,male
102,89,male,102,male
262,89,male,262,male
318,89,male,318,male
352,89,male,352,male
581,89,male,581,female
1162,89,male,1162,male
2089,89,male,2089,male
2917,89,male,2917,male
2956,89,male,2956,male
3456,89,male,3456,male
3639,89,male,3639,female
137,90,male,137,male
150,90,male,150,male
1321,90,male,1321,male
1519,90,male,1519,male
1655,90,male,1655,male
1722,90,male,1722,male
2926,90,male,2926,male
3652,90,male,3652,male
69,92,male,69,female
102,92,male,102,male
153,92,male,153,male
528,92,male,528,male
1523,92,male,1523,male
1540,92,male,1540,male
1553,92,male,1553,male
2454,92,male,2454,female
2616,92,male,2616,male
2679,92,male,2679,male
2958,92,male,2958,male
3464,92,male,3464,female
3481,92,male,3481,male
3506,92,male,3506,male
3536,92,male,3536,male
3537,92,male,3537,male
3554,92,male,3554,male
108,94,female,108,male
173,94,female,173,male
291,94,female,291,male
319,94,female,319,female
483,94,female,483,female
497,94,female,497,male
522,94,female,522,male
545,94,female,545,male
592,94,female,592,male
1038,94,female,1038,male
1332,94,female,1332,male
1974,94,female,1974,male
2110,94,female,2110,female
2430,94,female,2430,male
2595,94,female,2595,female
2601,94,female,2601,female
2650,94,female,2650,male
2656,94,female,2656,male
2694,94,female,2694,male
2808,94,female,2808,female
3104,94,female,3104,female
3234,94,female,3234,male
3417,94,female,3417,male
3425,94,female,3425,male
3446,94,female,3446,male
3546,94,female,3546,male
3548,94,female,3548,male
469,95,male,469,male
602,95,male,602,male
1582,95,male,1582,male
1653,95,male,1653,male
1933,95,male,1933,male
2593,95,male,2593,male
2731,95,male,2731,male
2938,95,male,2938,male
87,96,male,87,male
126,96,male,126,female
159,96,male,159,male
506,96,male,506,male
592,96,male,592,male
946,96,male,946,female
1032,96,male,1032,male
1050,96,male,1050,male
1087,96,male,1087,female
1519,96,male,1519,male
1606,96,male,1606,male
1638,96,male,1638,male
2023,96,male,2023,male
2418,96,male,2418,male
2577,96,male,2577,male
2587,96,male,2587,male
2606,96,male,2606,male
2615,96,male,2615,male
2629,96,male,2629,male
2668,96,male,2668,male
2835,96,male,2835,male
2890,96,male,2890,male
2976,96,male,2976,male
151,97,male,151,male
483,97,male,483,female
592,97,male,592,male
598,97,male,598,male
1977,97,male,1977,male
2638,97,male,2638,male
3083,97,male,3083,male
69,98,male,69,female
87,98,male,87,male
126,98,male,126,female
150,98,male,150,male
170,98,male,170,male
506,98,male,506,male
1106,98,male,1106,male
1247,98,male,1247,male
2972,98,male,2972,male
3582,98,male,3582,male
542,99,male,542,male
1207,99,male,1207,male
1273,99,male,1273,female
1800,99,male,1800,male
96,100,male,96,male
125,100,male,125,male
284,100,male,284,male
290,100,male,290,male
319,100,male,319,female
324,100,male,324,male
539,100,male,539,male
573,100,male,573,male
1010,100,male,1010,male
1018,100,male,1018,male
1091,100,male,1091,male
1123,100,male,1123,male
1134,100,male,1134,male
1239,100,male,1239,male
1245,100,male,1245,male
1313,100,male,1313,male
1369,100,male,1369,male
1629,100,male,1629,male
2684,100,male,2684,male
2927,100,male,2927,male
2935,100,male,2935,male
2956,100,male,2956,male
2973,100,male,2973,male
2974,100,male,2974,male
3414,100,male,3414,male
2730,101,male,2730,male
3516,101,male,3516,female
60,102,male,60,male
117,102,male,117,male
125,102,male,125,male
148,102,male,148,male
279,102,male,279,male
332,102,male,332,male
465,102,male,465,male
536,102,male,536,male
546,102,male,546,female
585,102,male,585,male
696,102,male,696,male
709,102,male,709,male
957,102,male,957,male
1054,102,male,1054,female
1421,102,male,1421,male
1701,102,male,1701,female
2042,102,male,2042,male
2473,102,male,2473,female
2616,102,male,2616,male
2889,102,male,2889,male
2895,102,male,2895,male
2898,102,male,2898,male
2956,102,male,2956,male
2961,102,male,2961,male
3402,102,male,3402,male
63,103,male,63,male
1379,103,male,1379,male
2835,103,male,2835,male
3121,103,male,3121,male
3529,103,male,3529,male
133,104,male,133,male
134,104,male,134,male
300,104,male,300,male
