,ID,Sex,papers_1995,papers_1996,papers_1997,papers_1998,papers_1999,papers_2000,papers_2001,papers_2002,papers_2003,papers_2004,papers_2005,papers_2006,papers_2007,papers_2008,papers_2009,papers_2010,papers_2011,papers_2012,papers_2013,papers_2014,papers_2015,papers_2016,papers_2017,papers_2018,papers_2019,papers_2020,papers_2021,papers_2022,papers_2023,citations_1995,citations_1996,citations_1997,citations_1998,citations_1999,citations_2000,citations_2001,citations_2002,citations_2003,citations_2004,citations_2005,citations_2006,citations_2007,citations_2008,citations_2009,citations_2010,citations_2011,citations_2012,citations_2013,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,Book Series,Conference Proceeding,Journal,Book,papers_2024,citations_2024,papers_1986,papers_1987,papers_1989,papers_1990,papers_1991,papers_1992,papers_1993,papers_1994,citations_1986,citations_1987,citations_1989,citations_1990,citations_1991,citations_1992,citations_1993,citations_1994,papers_1985,papers_1988,citations_1985,citations_1988,Trade Journal,papers_1984,citations_1984,papers_1980,citations_1980,papers_1983,citations_1983,papers_1952,citations_1952,papers_1971,papers_1972,papers_1974,papers_1975,papers_1977,citations_1971,citations_1972,citations_1974,citations_1975,citations_1977,papers_1978,papers_1979,papers_1981,papers_1982,citations_1978,citations_1979,citations_1981,citations_1982,papers_1976,citations_1976,papers_1948,papers_1950,papers_1953,papers_1954,papers_1955,papers_1956,papers_1957,papers_1958,papers_1959,papers_1960,papers_1961,papers_1962,papers_1963,papers_1964,papers_1966,papers_1967,papers_1968,papers_1969,papers_1973,citations_1948,citations_1950,citations_1953,citations_1954,citations_1955,citations_1956,citations_1957,citations_1958,citations_1959,citations_1960,citations_1961,citations_1962,citations_1963,citations_1964,citations_1966,citations_1967,citations_1968,citations_1969,citations_1973,papers_1965,citations_1965,papers_1970,citations_1970,papers_1947,papers_1949,citations_1947,citations_1949,Report,papers_1911,papers_1913,papers_1914,papers_1925,papers_1926,papers_1927,papers_1929,papers_1930,papers_1931,papers_1932,papers_1934,papers_1935,papers_1936,citations_1911,citations_1913,citations_1914,citations_1925,citations_1926,citations_1927,citations_1929,citations_1930,citations_1931,citations_1932,citations_1934,citations_1935,citations_1936,papers_1941,papers_1942,papers_1943,papers_1944,papers_1951,citations_1941,citations_1942,citations_1943,citations_1944,citations_1951,co-authors
0,0,male,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,7.0,4.0,5.0,7.0,5.0,2.0,3.0,2.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,63.0,20.0,91.0,57.0,56.0,23.0,155.0,187.0,83.0,3.0,9.0,51.0,32.0,28.0,16.0,71.0,29.0,65.0,30.0,18.0,3.0,9.0,18.0,3.0,10.0,26.0,17.0,5.0,0.0,21.0,48.0,15.0,4.0,0.0,0.0,2.0,6.0,2.0,1.0,3.0,2.0,1.0,2.0,55.0,241.0,3.0,15.0,6.0,5.0,3.0,14.0,1.0,6.0,18.0,679.0,1.0,4.0,81.0,2.0,132.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,135.0,163.0,8.0,2.0,2.0,4.0,170.0,13.0,13.0,378.0,2.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
1,1,male,1.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,7.0,5.0,4.0,14.0,14.0,15.0,7.0,7.0,3.0,4.0,5.0,7.0,15.0,5.0,1.0,0.0,4.0,7.0,283.0,9.0,0.0,14.0,48.0,17.0,18.0,228.0,6.0,3.0,2.0,75.0,63.0,139.0,151.0,109.0,260.0,53.0,69.0,4.0,52.0,86.0,62.0,74.0,1.0,1.0,12.0,65.0,38.0,4.0,0.0,0.0,2.0,8.0,1.0,5.0,2.0,4.0,2.0,1.0,19.0,84.0,15.0,63.0,77.0,71.0,3.0,2.0,1.0,2.0,2.0,86.0,3.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[2120]
2,2,male,4.0,2.0,5.0,2.0,7.0,11.0,4.0,17.0,3.0,13.0,13.0,16.0,13.0,1.0,5.0,10.0,5.0,5.0,6.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,44.0,198.0,60.0,1.0,39.0,298.0,571.0,207.0,1116.0,48.0,1128.0,618.0,1115.0,941.0,98.0,134.0,292.0,301.0,21.0,1136.0,137.0,7.0,45.0,48.0,13.0,6.0,6.0,5.0,0.0,44.0,7.0,31.0,12.0,16.0,3.0,0.0,8.0,9.0,3.0,4.0,8.0,3.0,7.0,1.0,88.0,56.0,10.0,84.0,126.0,258.0,26.0,1.0,7.0,6.0,128.0,46.0,1.0,4.0,14.0,3.0,63.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,27.0,1.0,1.0,57.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
3,3,male,3.0,6.0,4.0,7.0,6.0,4.0,5.0,4.0,2.0,17.0,7.0,12.0,10.0,5.0,12.0,9.0,15.0,12.0,11.0,4.0,2.0,9.0,4.0,4.0,17.0,5.0,1.0,1.0,1.0,35.0,40.0,140.0,45.0,226.0,20.0,448.0,60.0,108.0,1514.0,56.0,395.0,69.0,91.0,199.0,597.0,176.0,255.0,352.0,82.0,179.0,286.0,38.0,35.0,74.0,46.0,2.0,10.0,0.0,2.0,52.0,221.0,6.0,0.0,0.0,4.0,2.0,12.0,3.0,1.0,10.0,5.0,8.0,45.0,122.0,182.0,34.0,2.0,206.0,36.0,140.0,14.0,5.0,204.0,65.0,4.0,10.0,103.0,5.0,109.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,164.0,4.0,3.0,3.0,5.0,100.0,22.0,354.0,24.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[3174]
4,4,male,10.0,5.0,16.0,9.0,12.0,23.0,12.0,1.0,2.0,18.0,1.0,1.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,6.0,9.0,8.0,14.0,13.0,3.0,2.0,1.0,1.0,218.0,33.0,699.0,265.0,323.0,828.0,433.0,4.0,4.0,479.0,2.0,108.0,69.0,12.0,245.0,36.0,9.0,32.0,138.0,32.0,98.0,50.0,65.0,98.0,152.0,6.0,33.0,0.0,0.0,30.0,43.0,17.0,3.0,2.0,0.0,4.0,5.0,3.0,12.0,5.0,7.0,11.0,10.0,19.0,27.0,42.0,282.0,101.0,108.0,306.0,272.0,3.0,7.0,5.0,29.0,1.0,2.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,2.0,2.0,5.0,3.0,1.0,26.0,13.0,34.0,52.0,0.0,2.0,4.0,3.0,4.0,1.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
5,5,female,2.0,2.0,4.0,2.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,6.0,5.0,10.0,9.0,3.0,9.0,9.0,14.0,12.0,10.0,8.0,9.0,5.0,4.0,17.0,114.0,52.0,32.0,12.0,613.0,311.0,42.0,137.0,219.0,108.0,16.0,102.0,35.0,18.0,14.0,39.0,109.0,304.0,17.0,49.0,65.0,127.0,97.0,113.0,917.0,254.0,19.0,6.0,23.0,71.0,18.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,15.0,2.0,1.0,1.0,14.0,106.0,8.0,10.0,174.0,1.0,152.0,8.0,3.0,1.0,11.0,207.0,1.0,5.0,3.0,6.0,5.0,6.0,1.0,2.0,0.0,5.0,7.0,4.0,3.0,3.0,27.0,12.0,0.0,1.0,2.0,4.0,3.0,4.0,3.0,0.0,5.0,7.0,55.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,6.0,10.0,2.0,3.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[2641]
6,6,male,2.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,6.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,0.0,3.0,1.0,3.0,0.0,157.0,28.0,22.0,94.0,144.0,5.0,57.0,69.0,28.0,10.0,31.0,2.0,49.0,47.0,54.0,10.0,3.0,17.0,45.0,4.0,2.0,14.0,10.0,9.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,22.0,16.0,6.0,175.0,91.0,30.0,37.0,15.0,1.0,1.0,22.0,3.0,1.0,2.0,18.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[3024]
7,7,male,8.0,12.0,10.0,9.0,13.0,12.0,8.0,5.0,1.0,1.0,22.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,7.0,3.0,7.0,10.0,5.0,7.0,4.0,7.0,6.0,6.0,865.0,791.0,498.0,436.0,457.0,408.0,553.0,152.0,18.0,47.0,2375.0,0.0,156.0,194.0,114.0,30.0,316.0,1.0,45.0,249.0,75.0,224.0,109.0,34.0,118.0,145.0,102.0,6.0,1.0,3.0,62.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,66.0,56.0,0.0,85.0,157.0,10.0,81.0,228.0,1.0,1.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
8,8,male,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,2.0,4.0,10.0,1.0,7.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,9.0,33.0,17.0,14.0,99.0,77.0,7.0,65.0,32.0,128.0,220.0,44.0,121.0,386.0,213.0,4.0,1842.0,88.0,137.0,40.0,65.0,18.0,107.0,71.0,27.0,55.0,60.0,0.0,0.0,2.0,25.0,24.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,9.0,0.0,8.0,16.0,13.0,85.0,6.0,145.0,1.0,2.0,2.0,23.0,3.0,2.0,161.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,95.0,2.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[284, 781, 2670, 3147]"
9,9,male,2.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,4.0,6.0,3.0,2.0,1.0,4.0,2.0,2.0,4.0,5.0,14.0,14.0,14.0,7.0,12.0,21.0,16.0,11.0,11.0,7.0,11.0,98.0,10.0,58.0,6.0,3.0,5.0,4.0,443.0,102.0,215.0,31.0,22.0,0.0,30.0,33.0,48.0,62.0,126.0,293.0,298.0,338.0,193.0,211.0,288.0,123.0,46.0,11.0,3.0,0.0,17.0,90.0,44.0,3.0,1.0,0.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,3.0,41.0,185.0,5.0,7.0,249.0,0.0,2.0,67.0,2.0,1.0,7.0,6.0,1.0,1.0,52.0,8.0,201.0,5.0,191.0,0.0,0.0,1.0,1.0,3.0,6.0,2.0,4.0,0.0,4.0,59.0,10.0,2.0,1.0,5.0,4.0,31.0,15.0,77.0,16.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[142, 169, 398, 438, 791, 2104, 2461, 2917, 2970, 3476, 3539]"
